title,abstract,publisher,citations,year
Optimality of randomized trunk reservation for a problem with a single constraint,"We study an optimal admission of arriving customers to a Markovian finite-capacity queue, e.g. an M/M/c/N queue, with several customer types. The system managers are paid for serving customers and penalized for rejecting them. The rewards and penalties depend on customer type. The goal is to maximize the average rewards per unit time subject to the constraint on the average penalties per unit time. We provide a solution to this problem based on Lagrangian optimization. For a feasible problem, we show the existence of a randomized trunk reservation optimal policy with the acceptance thresholds for different customer types ordered according to a linear combination of the service rewards and rejection costs. In addition, we prove that any 1-randomized stationary optimal policy has this structure. In particular, we establish the structure of an optimal policy that maximizes the average rewards per unit time subject to the constraint on the blocking probability of either one of the customer types or a group of customer types pooled together.",ADVANCES IN APPLIED PROBABILITY,7,2006
STABILITY OF MULTI-DIMENSIONAL BIRTH-AND-DEATH PROCESSES WITH STATE-DEPENDENT 0-HOMOGENEOUS JUMPS,"We study the conditions for positive recurrence and transience of multi-dimensional birth-and-death processes describing the evolution of a large class of stochastic systems, a typical example being the randomly varying number of flow-level transfers in a telecommunication wire-line or wireless network. First, using an associated deterministic dynamical system, we provide a generic method to construct a Lyapunov function when the drift is a smooth function on R-N. This approach gives an elementary and direct proof of ergodicity. We also provide instability conditions. Our main contribution consists of showing how discontinuous drifts change the nature of the stability conditions and of providing generic sufficient stability conditions having a simple geometric interpretation. These conditions turn out to be necessary (outside a negligible set of the parameter space) for piecewise constant drifts in dimension two.",ADVANCES IN APPLIED PROBABILITY,6,2014
PHENOTYPIC DIVERSITY AND POPULATION GROWTH IN A FLUCTUATING ENVIRONMENT,"Organisms adapt to fluctuating environments by regulating their dynamics, and by adjusting their phenotypes to environmental changes. We model population growth using multitype branching processes in random environments, where the offspring distribution of some organism having trait t is an element of T in environment e is an element of epsilon is given by some (fixed) distribution gamma(t,e) on N. Then, the phenotypes are attributed using a distribution (strategy) pi(t,e) on the trait space T. We look for the optimal strategy pi(t,e), t is an element of T,e is an element of epsilon, maximizing the net growth rate or Lyapounov exponent, and characterize the set of optimal strategies. This is considered for various models of interest in biology: hereditary versus nonhereditary strategies and strategies involving or not involving a sensing mechanism. Our main results are obtained in the setting of nonhereditary strategies: thanks to a reduction to simple branching processes in a random environment, we derive an exact expression for the net growth rate and a characterization of optimal strategies. We also focus on typical genealogies, that is, we consider the problem of finding the typical lineage of a randomly chosen organism.",ADVANCES IN APPLIED PROBABILITY,5,2011
ON CUSTOMER FLOWS IN JACKSON QUEUEING NETWORKS,"Melamed's theorem states that, for a Jackson queueing network, the equilibrium flow along a link follows a Poisson distribution if and only if no customers can travel along the link more than once. Barbour and Brown (1996) considered the Poisson approximate version of Melamed's theorem by allowing the customers a small probability p of travelling along the link more than once. In this note, we prove that the customer flow process is a Poisson cluster process and then establish a general approximate version of Melamed's theorem that accommodates all possible cases of 0 <= p < 1.",ADVANCES IN APPLIED PROBABILITY,0,2010
GAUSSIAN PHASES IN GENERALIZED COUPON COLLECTION,"In this paper we consider a generalized coupon collection problem in which a customer repeatedly buys a random number of distinct coupons in order to gather a large number n of available coupons. We address the following question: How many different coupons are collected after k = k(n) draws, as n -> infinity? We identify three phases of k(n) : the sublinear, the linear, and the superlinear. In the growing sublinear phase we see o(n) different coupons, and, with true randomness in the number of purchases, under the appropriate centering and scaling, a Gaussian distribution is obtained across the entire phase. However, if the number of purchases is fixed, a degeneracy arises and normality holds only at the higher end of this phase. If the number of purchases have a fixed range, the small number of different coupons collected in the sublinear phase is upgraded to a number in need of centering and scaling to become normally distributed in the linear phase with a different normal distribution of the type that appears in the usual central limit theorems. The Gaussian results are obtained via martingale theory. We say a few words in passing about the high probability of collecting nearly all the coupons in the superlinear phase. It is our aim to present the results in a way that explores the critical transition at the 'seam line' between different Gaussian phases, and between these phases and other nonnormal phases.",ADVANCES IN APPLIED PROBABILITY,7,2010
COMPARISON OF TIME-INHOMOGENEOUS MARKOV PROCESSES,"Comparison results are given for time-inhomogeneous Markov processes with respect to function classes with induced stochastic orderings. The main result states the comparison of two processes, provided that the comparability of their infinitesimal generators as well as an invariance property of one process is assumed. The corresponding proof is based on a representation result for the solutions of inhomogeneous evolution problems in Banach spaces, which extends previously known results from the literature. Based on this representation, an ordering result for Markov processes induced by bounded and unbounded function classes is established. We give various applications to time-inhomogeneous diffusions, to processes with independent increments, and to Levy-driven diffusion processes.",ADVANCES IN APPLIED PROBABILITY,11,2016
A GENERALIZED TELEGRAPH PROCESS WITH VELOCITY DRIVEN BY RANDOM TRIALS,"We consider a random trial-based telegraph process, which describes a motion on the real line with two constant velocities along opposite directions. At each epoch of the underlying counting process the new velocity is determined by the outcome of a random trial. Two schemes are taken into account: Bernoulli trials and classical Polya urn trials. We investigate the probability law of the process and the mean of the velocity of the moving particle. We finally discuss two cases of interest: (i) the case of Bernoulli trials and intertimes having exponential distributions with linear rates (in which, interestingly, the process exhibits a logistic stationary density with nonzero mean), and (ii) the case of Polya trials and intertimes having first gamma and then exponential distributions with constant rates.",ADVANCES IN APPLIED PROBABILITY,13,2013
ERGODICITY OF AFFINE PROCESSES ON THE CONE OF SYMMETRIC POSITIVE SEMIDEFINITE MATRICES,"This article investigates the long-time behavior of conservative affine processes on the cone of symmetric positive semidefinite d x d matrices. In particular, for conservative and subcritical affine processes we show that a finite log-moment of the state-independent jump measure is sufficient for the existence of a unique limit distribution. Moreover, we study the convergence rate of the underlying transition kernel to the limit distribution: first, in a specific metric induced by the Laplace transform, and second, in the Wasserstein distance under a first moment assumption imposed on the state-independent jump measure and an additional condition on the diffusion parameter.",ADVANCES IN APPLIED PROBABILITY,1,2020
EFFICIENT SIMULATION OF BROWN-RESNICK PROCESSES BASED ON VARIANCE REDUCTION OF GAUSSIAN PROCESSES,"Brown-Resnick processes are max-stable processes that are associated to Gaussian processes. Their simulation is often based on the corresponding spectral representation which is not unique. We study to what extent simulation accuracy and efficiency can be improved by minimizing the maximal variance of the underlying Gaussian process. Such a minimization is a difficult mathematical problem that also depends on the geometry of the simulation domain. We extend Matheron's (1974) seminal contribution in two directions: (i) making his description of a minimal maximal variance explicit for convex variograms on symmetric domains, and (ii) proving that the same strategy also reduces the maximal variance for a huge class of nonconvex variograms representable through a Bernstein function. A simulation study confirms that our noncostly modification can lead to substantial improvements among Gaussian representations. We also compare it with three other established algorithms.",ADVANCES IN APPLIED PROBABILITY,2,2018
NONNORMAL SMALL JUMP APPROXIMATION OF INFINITELY DIVISIBLE DISTRIBUTIONS,"We study a type of nonnormal small jump approximation of infinitely divisible distributions. By incorporating compound Poisson, gamma, and normal distributions, the approximation has a higher order of cumulant matching than its normal counterpart, and, hence, in many cases a higher rate of approximation error decay as the cutoff for the jump size tends to 0. The parameters of the approximation are easy to fix, and its random sampling has the same order of computational complexity as the normal approximation. An error bound of the approximation in terms of the total variation distance is derived. Simulations empirically show that the nonnormal approximation can have a significantly smaller error than its normal counterpart.",ADVANCES IN APPLIED PROBABILITY,1,2014
Variable selection in model-based clustering and discriminant analysis with a regularization approach,"Several methods for variable selection have been proposed in model-based clustering and classification. These make use of backward or forward procedures to define the roles of the variables. Unfortunately, such stepwise procedures are slow and the resulting algorithms inefficient when analyzing large data sets with many variables. In this paper, we propose an alternative regularization approach for variable selection in model-based clustering and classification. In our approach the variables are first ranked using a lasso-like procedure in order to avoid slow stepwise algorithms. Thus, the variable selection methodology of Maugis et al. (Comput Stat Data Anal 53:3872-3882, 2000b) can be efficiently applied to high-dimensional data sets.",ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,8,2019
On discriminating between lognormal and Pareto tail: an unsupervised mixture-based approach,"Many stochastic models in economics and finance are described by distributions with a lognormal body. Testing for a possible Pareto tail and estimating the parameters of the Pareto distribution in these models is an important topic. Although the problem has been extensively studied in the literature, most applications are characterized by some weaknesses. We propose a method that exploits all the available information by taking into account the data generating process of the whole population. After estimating a lognormal-Pareto mixture with a known threshold via the EM algorithm, we exploit this result to develop an unsupervised tail estimation approach based on the maximization of the profile likelihood function. Monte Carlo experiments and two empirical applications to the size of US metropolitan areas and of firms in an Italian district confirm that the proposed method works well and outperforms two commonly used techniques. Simulation results are available in an online supplementary appendix.",ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,37,2022
A principal component method to impute missing values for mixed data,"We propose a new method to impute missing values in mixed data sets. It is based on a principal component method, the factorial analysis for mixed data, which balances the influence of all the variables that are continuous and categorical in the construction of the principal components. Because the imputation uses the principal axes and components, the prediction of the missing values is based on the similarity between individuals and on the relationships between variables. The properties of the method are illustrated via simulations and the quality of the imputation is assessed using real data sets. The method is compared to a recent method (Stekhoven and Buhlmann Bioinformatics 28:113-118, 2011) based on random forest and shows better performance especially for the imputation of categorical variables and situations with highly linear relationships between continuous variables.",ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,46,2016
Kurtosis removal for data pre-processing,"Mesokurtic projections are linear projections with null fourth cumulants. They might be useful data pre-processing tools when nonnormality, as measured by the fourth cumulants, is either an opportunity or a challenge. Nonnull fourth cumulants are opportunities when projections with extreme kurtosis are used to identify interesting nonnormal features, as for example clusters and outliers. Unfortunately, this approach suffers from the curse of dimensionality, which may be addressed by projecting the data onto the subspace orthogonal to mesokurtic projections. Nonnull fourth cumulants are challenges when using statistical methods whose sampling properties heavily depend on the fourth cumulant themselves. Mesokurtic projections ease the problem by allowing to use the inferential properties of the same methods under normality. The paper shows necessary and sufficient conditions for the existence of mesokurtic projections and compares them with other gaussianization methods. Theoretical and empirical results suggest that mesokurtic transformations are particularly useful when sampling from finite normal mixtures. The practical use of mesokurtic projections is illustrated with the AIS and the RANDU datasets.",ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,2,2022
Identification of representative trees in random forests based on a new tree-based distance measure,"In life sciences, random forests are often used to train predictive models. However, gaining any explanatory insight into the mechanics leading to a specific outcome is rather complex, which impedes the implementation of random forests into clinical practice. By simplifying a complex ensemble of decision trees to a single most representative tree, it is assumed to be possible to observe common tree structures, the importance of specific features and variable interactions. Thus, representative trees could also help to understand interactions between genetic variants. Intuitively, representative trees are those with the minimal distance to all other trees, which requires a proper definition of the distance between two trees. Thus, we developed a new tree-based distance measure, which incorporates more of the underlying tree structure than other metrics. We compared our new method with the existing metrics in an extensive simulation study and applied it to predict the age at onset based on a set of genetic risk factors in a clinical data set. In our simulation study we were able to show the advantages of our weighted splitting variable approach. Our real data application revealed that representative trees are not only able to replicate the results from a recent genome-wide association study, but also can give additional explanations of the genetic mechanisms. Finally, we implemented all compared distance measures in R and made them publicly available in the R package timbR.",ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,28,2023
Polynomial approximate discretization of geometric centers in high-dimensional Euclidean space,"Many geometric optimization problems can be reduced to choosing points in space (centers) minimizing some objective function which continuously depends on the distances from the chosen centers to given input points. We prove that, for any fixed epsilon > 0, every finite set of points in any-dimensional real space admits a polynomial-size set of candidate centers which can be computed in polynomial time and which contains a (1 + epsilon)-approximation of each point of space with respect to the Euclidean distances to all the given points. It provides a universal approximation-preserving reduction of any geometric center-based problems whose objective function satisfies a natural continuity-type condition to their discrete versions where the desired centers are selected from a polynomial-size set of candidates. The obtained polynomial upper bound for the size of a universal centers set is supplemented by a theoretical lower bound for this size in the worst case.",ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,26,2021
Predicting brand confusion in imagery markets based on deep learning of visual advertisement content,"In the consumer goods industry, unique brand positionings are assumed to be the road to success. They document product distinctiveness and so justify high prices. However, as products are getting more and more interchangeable, brand positionings must rely-at least partially-on supporting advertisements. Here, especially ads with visual content (e.g. photos, video clips) are able to connect brands with desirable emotions and values. Recently, besides TV, cinema, newspaper, also search engines, social networks, photo-, video-sharing platforms are used to spread such ads. In this paper, we demonstrate, how deep learning based on such ads can be used to predict uniqueness of brand positionings. A sample application to the German Pils beer market is used for demonstration.",ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,38,2020
New insights on permutation approach for hypothesis testing on functional data,"The permutation approach for testing the equality of distributions and thereby comparing two populations of functional data has recently received increasing attention thanks to the flexibility of permutation tests to handle complex testing problems. The purpose of this work is to present some new insights in the context of nonparametric inference on functional data using the permutation approach, more specifically we formally show the equivalence of some permutation procedures proposed in the literature and we suggest the use of the permutation and combination-based approach within the basis function approximation layout. Validation of theoretical results is shown by simulation studies.",ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,14,2014
Is there a role for statistics in artificial intelligence?,"The research on and application of artificial intelligence (AI) has triggered a comprehensive scientific, economic, social and political discussion. Here we argue that statistics, as an interdisciplinary scientific field, plays a substantial role both for the theoretical and practical understanding of AI and for its future development. Statistics might even be considered a core element of AI. With its specialist knowledge of data evaluation, starting with the precise formulation of the research question and passing through a study design stage on to analysis and interpretation of the results, statistics is a natural partner for other disciplines in teaching, research and practice. This paper aims at highlighting the relevance of statistical methodology in the context of AI development. In particular, we discuss contributions of statistics to the field of artificial intelligence concerning methodological development, planning and design of studies, assessment of data quality and data collection, differentiation of causality and associations and assessment of uncertainty in results. Moreover, the paper also discusses the equally necessary and meaningful extensions of curricula in schools and universities to integrate statistical aspects into AI teaching.",ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,168,2021
Latent class CUB models,"The paper proposes a latent class version of Combination of Uniform and (shifted) Binomial random variables (CUB) models for ordinal data to account for unobserved heterogeneity. The extension, called LC-CUB, is useful when the heterogeneity is originated by clusters of respondents not identified by covariates: this may generate a multimodal response distribution, which cannot be adequately described by a standard CUB model. The LC-CUB model is a finite mixture of CUB models yielding a multimodal theoretical distribution. Model identification is achieved by constraining the uncertainty parameters to be constant across latent classes. A simulation experiment shows the performance of the maximum likelihood estimator, whereas the usefulness of the approach is illustrated by means of a case study on political self-placement measured on an ordinal scale.",ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,20,2014
Weak Concentration for First Passage Percolation Times on Graphs and General Increasing Set-valued Processes,"A simple lemma bounds s.d.(T)/ET for hitting times T in Markov chains with a certain strong monotonicity property. We show how this lemma may be applied to several increasing set-valued processes. Our main result concerns a model of first passage percolation on a finite graph, where the traversal times of edges are independent Exponentials with arbitrary rates. Consider the percolation time X between two arbitrary vertices. We prove that s.d.(X)/EX is small if and only if Xi/EX is small, where Xi is the maximal edge-traversal time in the percolation path attaining X.",ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS,4,2016
On a limiting point process related to modified permutation matrices,"We consider random permutation matrices following a one-parameter family of deformations of the uniform distribution, called Ewens' measures, and modifications of these matrices where the entries equal to one are replaced by i.i.d uniform random variables on the unit circle. For each of these two ensembles of matrices, resealing properly the eigenangles provides a limiting point process as the size of the matrices goes to infinity. If J is an interval of N, we show that, as the length of J tends to infinity, the number of points lying in J of the limiting point process related to modified permutation matrices is asymptotically normal. Moreover, for permutation matrices without modification, if a and a + b denote the endpoints of J, we still have an asymptotic normality for the number of points lying in J, in the two following cases: [a fixed and b -> infinity] and [a, b -> infinity with b proportional to a].",ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS,0,2020
On Nonlinear Rough Paths,"In this paper, we develop the theory of nonlinear rough paths. Following the ideas of Lyons and Gubinelli, we define the nonlinear rough integral f(s)(t) W (dr, Y-r), where W and Y are only alpha-Holder continuous in time with alpha is an element of (1/3, 1/2]. Also, we study the Kunita-type equation Y-t = xi + f(0)(t) W (dr, Y-s), obtaining the local and global existence and uniqueness of the solution under suitable sufficient conditions. As an application, we study transport equations with rough vector fields and observe that the classical solution formula for smooth and Young's cases does not provide a solution to the rough equation. Indeed this formula satisfies a transport equation with additional compensator terms (see (1.7)).",ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS,2,2020
LAN property for some fractional type Brownian motion,"We study asymptotic expansion of the likelihood of a certain class of Gaussian processes characterized by their spectral density f(theta). We consider the case where f(theta)(x) similar to(x -> 0) vertical bar x vertical bar L--alpha(theta)(theta)(x) with L-theta a slowly varying function and alpha(theta) is an element of (-infinity, 1). We prove LAN property for these models which include in particular fractional Brownian motion or ARFIMA processes.",ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS,7,2013
The maximum of a tree-indexed random walk in the big jump domain,"We consider random walks indexed by arbitrary finite random or deterministic trees. We derive a simple sufficient criterion which ensures that the maximal displacement of the tree-indexed random walk is determined by a single large jump. This criterion is given in terms of four quantities: the tail and the expectation of the random walk steps, the height of the tree and the number of its vertices. The results are applied to critical Galton-Watson trees with offspring distributions in the domain of attraction of a stable law.",ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS,6,2016
Limit theorems for U-statistics of Bernoulli data,"In this paper, we consider U-statistics whose data is a strictly stationary sequence which can be expressed as a functional of an i.i.d. one. We establish a strong law of large numbers, a bounded law of the iterated logarithms and a central limit theorem under a dependence condition. The main ingredients for the proof are an approximation by U-statistics whose data is a functional of l i.i.d. random variables and an analogue of the Hoeffding's decomposition for U-statistics of this type.",ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS,0,2021
Fractionally Integrated Moving Average Stable Processes With Long-Range Dependence,"Long memory processes driven by Levy noise with finite second-order moments have been well studied in the literature. They form a very rich class of processes presenting an autocovariance function that decays like a power function. Here, we study a class of Levy processes whose second-order moments are infinite, the so-called ??-stable processes. Based on Samorodnitsky and Taqqu (1994), we construct an isometry that allows us to define stochastic integrals concerning the linear fractional stable motion using Riemann-Liouville fractional integrals. With this construction, an integration by parts formula follows naturally. We then present a family of stationary S??S processes with the property of long-range dependence, using a generalized measure to investigate its dependence structure. At the end, the law of large number???s result for a time???s sample of the process is shown as an application of the isometry and integration by parts formula.",ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS,0,2022
Truncation of long-range percolation models with square non-summable interactions,"We consider some problems related to the truncation question in long-range percolation. Probabilities are given that certain long-range oriented bonds are open; assuming that these probabilities are not summable, we ask if the probability of percolation is positive when we truncate the graph, disallowing bonds of range above a possibly large but finite threshold. This question is still open if the set of vertices is Z(2). We give some conditions under which the answer is affirmative. One of these results generalizes a previous result in [Alves, Hilario, de Lima, Valesin, Journ. Stat. Phys. 122, 972 (2017)].",ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS,0,2022
